Date;Closing;Volume
24022016;9167,80;3577020416
23022016;9416,77;2944217088
22022016;9573,59;2807951872
19022016;9388,05;3694096128
18022016;9463,64;3655541504
17022016;9377,21;3617709568
16022016;9135,11;3089120256
15022016;9206,84;3569944832
12022016;8967,51;4154094592
11022016;8752,87;4673121280
10022016;9017,29;4044150784
09022016;8879,40;4998994432
08022016;8979,36;4875351552
05022016;9286,23;4369835520
04022016;9393,36;4731516416
03022016;9434,82;4300801024
02022016;9581,04;3541710848
01022016;9757,88;3072775936
29012016;9798,11;4079750400
28012016;9639,59;3905354496
27012016;9880,82;3282937856
26012016;9822,75;3895965184
25012016;9736,15;3197269248
22012016;9764,88;4370950656
21012016;9574,16;4963624448
20012016;9391,64;4825819136
19012016;9664,21;3396201216
18012016;9521,85;3383297536
15012016;9545,27;5862219264
14012016;9794,20;5324136448
13012016;9960,96;3430627328
12012016;9985,43;3708558080
11012016;9825,07;3578257664
08012016;9849,34;3938901760
07012016;9979,85;5048312832
06012016;10214,02;3592296704
05012016;10310,10;3470784256
04012016;10283,44;4934835712
